id,age,country,employment_type,years_employed,annual_income,years_credit_history,num_credit_accounts,credit_score,past_defaults,payment_history_score,total_portfolio_value,btc_pct,eth_pct,stablecoins_pct,other_pct,portfolio_volatility_30d,transaction_frequency_30d,average_transaction_size,wallet_age_days,smart_contract_interactions,defi_experience_level,gas_fee_spending_30d,requested_loan_amount,loan_purpose,collateral_amount,collateral_type,requested_term_months,ltv_ratio,debt_to_income_ratio,risk_score,default_in_12_months,actual_repayment_days,generated_at,generator_version
SYNTH_000044,18,CA,part_time,0,45003,0,3,622,1,54,20845,18.8,49.52,24.7,6.98,30.05585170808955,10,1099,222,7,21,382,1000,education,1382,USDC,36,72.36,0.19,48.92,0,1151.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000045,26,DE,part_time,0,61614,8,3,766,0,80,108382,28.57,23.68,29.29,18.47,41.678712236090576,18,22122,752,10,16,647,1000,business,1348,USDC,6,74.18,0.14,43.52,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000046,29,US,full_time,0,88612,8,3,745,0,84,3647081,10.25,47.3,28.17,14.28,38.779674315575505,14,600525,384,9,16,136,1000,education,1273,ETH,6,78.55,0.09,39.38,0,192.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000047,47,US,full_time,29,58410,29,7,664,0,68,47187,13.73,52.1,33.69,0.48,33.946642459212136,21,2459,133,5,14,690,1000,personal,1927,USDC,12,51.89,0.14,42.61,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000048,39,US,full_time,17,133607,21,4,833,0,100,42651,5.12,38.35,50.46,6.07,29.68314390098694,13,8972,249,9,11,73,1000,business,1254,USDC,6,79.74,0.06,35.39,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000049,18,CA,full_time,0,19220,0,4,674,0,70,16659,27.47,33.52,29.26,9.74,35.47541611792341,9,2637,297,8,12,348,1000,education,1767,USDC,6,56.59,0.43,50.32,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000050,38,CA,full_time,8,157716,20,2,753,0,69,299087,11.44,59.48,27.3,1.78,40.096907434454806,7,30683,220,10,28,144,1000,personal,1200,USDT,12,83.33,0.05,38.31,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000051,30,US,full_time,2,221497,9,0,729,0,63,365581,17.55,30.21,43.95,8.29,30.454521891485292,13,24063,635,8,15,436,1000,investment,1583,BTC,12,63.17,0.04,35.25,0,326.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000052,26,DE,self_employed,8,27228,8,3,693,0,79,653989,30.37,24.17,45.32,0.15,28.729537004244325,19,133638,1025,9,41,864,1000,investment,1474,Mixed,36,67.84,0.31,45.03,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000053,42,US,self_employed,24,15927,24,2,737,0,79,2875675,11.78,62.7,20.91,4.61,36.2170066824252,11,669733,1074,5,34,141,1000,education,1978,USDT,6,50.56,0.52,43.48,0,167.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000054,47,OTHER,full_time,28,143267,25,4,826,0,100,29501,12.8,47.7,35.65,3.86,28.238617845828568,8,6997,415,14,16,305,1000,personal,1855,USDT,12,53.91,0.06,28.71,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000055,46,OTHER,full_time,19,93107,27,5,746,0,90,16465,19.18,19.89,45.25,15.68,31.59268165498481,13,1749,355,6,9,180,1000,emergency,1975,BTC,12,50.63,0.09,33.76,0,377.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000056,24,CA,self_employed,6,15927,5,8,729,1,79,35889,27.17,26.31,29.74,16.78,35.22584567143503,13,7657,255,7,18,620,1000,emergency,1555,USDT,24,64.31,0.52,48.5,0,720.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000057,31,OTHER,student,0,15000,13,4,781,0,97,59574,29.19,21.56,29.53,19.73,37.117255047333344,17,6624,150,8,52,194,1000,personal,1768,BTC,3,56.56,0.56,39.8,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000058,38,AU,full_time,18,109118,20,1,850,0,100,76846,6.76,51.49,25.42,16.34,34.406682708844926,14,19095,549,12,18,382,1000,education,1232,USDT,24,81.17,0.08,34.4,0,756.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000059,46,AU,full_time,25,105303,28,4,690,0,72,83806,9.39,45.14,38.46,7.01,33.57217503776371,7,10714,1016,9,34,261,1000,education,1407,BTC,24,71.07,0.08,36.62,0,686.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000060,29,DE,full_time,0,17002,10,3,621,0,47,99215,14.93,35.95,41.76,7.36,30.644201491800672,12,29645,408,6,12,213,1000,business,1855,ETH,6,53.91,0.49,51.27,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000061,32,UK,full_time,5,164438,14,7,644,0,64,188546,12.46,26.04,33.41,28.08,33.64773929583222,10,46100,313,10,8,233,1000,business,1456,USDC,6,68.68,0.05,42.89,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000062,21,US,full_time,0,90194,0,3,675,2,75,909384,19.91,36.92,28.85,14.32,35.10321774443773,16,231716,811,9,42,588,1000,business,1360,USDC,6,73.53,0.09,37.31,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000063,20,UK,full_time,0,46297,2,7,764,0,92,12071,9.78,31.7,22.17,36.35,38.78335969996202,13,1625,415,5,16,230,1000,investment,1589,USDT,12,62.93,0.18,43.19,0,338.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000064,44,DE,full_time,16,54828,21,4,580,1,45,259905,11.69,23.97,52.91,11.43,24.219069255406563,9,46941,863,12,19,77,1000,business,1744,DAI,12,57.34,0.15,44.92,0,356.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000065,51,US,full_time,28,64751,32,5,690,0,62,133653,6.5,32.11,51.92,9.47,29.56269076789074,9,9960,909,11,22,320,1000,investment,1606,BTC,24,62.27,0.13,41.3,0,695.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000066,34,US,self_employed,11,39271,16,1,643,0,61,154683,26.48,33.82,37.23,2.47,29.108050147459995,10,17833,1012,10,24,107,1000,education,1375,DAI,6,72.73,0.21,48.3,0,190.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000067,47,SG,full_time,28,318717,29,2,769,0,100,1209196,17.83,48.39,32.86,0.92,37.514798946845545,13,185622,350,8,12,603,1000,emergency,1879,USDC,6,53.22,0.03,33.51,0,186.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000068,39,US,self_employed,19,72627,21,6,833,0,95,40352,35.33,16.7,39.24,8.73,41.17990233001035,8,4199,491,4,10,264,1000,personal,1309,USDC,3,76.39,0.11,40.51,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000069,27,DE,full_time,0,85116,9,7,641,0,64,665497,16.85,37.69,30.16,15.3,45.95305854591032,11,92695,603,5,9,420,1000,emergency,1530,ETH,12,65.36,0.1,45.48,0,381.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000070,39,OTHER,full_time,21,26427,21,3,800,0,96,9445,10.17,28.34,55.42,6.07,31.00563985824615,8,1604,874,7,26,102,1000,education,1485,USDT,6,67.34,0.32,42.19,0,197.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000071,53,CA,student,0,20863,31,6,850,0,100,642115,25.17,10.75,60.52,3.56,28.248009291736302,5,41098,280,4,0,78,1000,emergency,1356,ETH,6,73.75,0.4,45.59,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000072,34,CA,self_employed,16,93898,11,6,805,1,98,226824,7.96,53.03,36.08,2.94,33.8554442349376,13,50946,687,5,15,413,1000,business,1921,USDT,6,52.06,0.09,32.05,0,191.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000073,53,DE,full_time,28,98710,33,4,711,0,74,640442,18.8,12.66,41.42,27.12,39.27389954935309,13,119610,309,9,19,480,1000,investment,1885,DAI,36,53.05,0.08,35.68,0,1019.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000074,18,SG,self_employed,0,15000,0,6,527,1,40,126936,16.78,26.72,40.02,16.47,28.305708968930062,16,31739,522,6,6,485,1000,business,1488,ETH,3,67.2,0.56,58.74,0,97.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000075,44,US,self_employed,22,79066,26,3,801,0,85,98643,6.03,45.89,43.66,4.43,26.99609686389006,8,25339,450,11,20,145,1000,business,1403,USDC,12,71.28,0.11,36.2,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000076,36,JP,full_time,14,143215,16,1,826,0,99,1070555,12.05,49.72,23.47,14.75,38.49007254549225,10,218132,1189,5,28,421,1000,investment,1776,USDT,12,56.31,0.06,28.95,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000077,31,US,full_time,11,16864,11,7,704,0,93,605071,2.76,38.39,45.82,13.03,27.25774315132871,9,43151,486,15,14,240,1000,other,1558,USDC,12,64.18,0.49,49.43,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000078,36,US,student,0,88717,16,4,850,0,100,229147,26.47,22.65,48.08,2.8,32.5411535089587,19,57001,415,9,21,690,1000,business,1862,USDC,36,53.71,0.09,29.24,0,1125.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000079,18,AU,full_time,0,58426,0,8,475,0,22,173041,8.16,53.55,31.88,6.41,36.619898171970085,11,36120,525,4,4,166,1000,other,1501,ETH,3,66.62,0.14,57.07,0,88.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000080,32,US,full_time,11,88164,12,4,743,0,85,1181571,16.89,12.77,68.07,2.27,29.8696142750175,17,258496,497,7,21,814,1000,other,1989,USDT,24,50.28,0.09,32.84,0,749.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000081,39,UK,full_time,11,18515,21,4,806,0,88,9770,25.06,9.49,53.67,11.78,25.833022761226065,21,719,687,13,35,838,1000,investment,1679,DAI,24,59.56,0.45,39.17,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000082,52,US,self_employed,31,126296,34,2,850,0,97,1599516,34.91,26.6,35.54,2.95,25.577957114383697,15,452872,729,6,25,435,1000,personal,1515,BTC,3,66.01,0.07,28.48,0,98.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000083,28,US,part_time,3,34397,8,3,653,0,67,932188,30.14,20.81,45.95,3.1,27.249036010428377,18,94473,680,7,15,844,1000,education,1839,DAI,6,54.38,0.24,46.99,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000084,25,US,student,0,15000,7,4,656,1,61,6782,21.45,14.54,57.41,6.6,28.398516360939578,12,1409,479,11,13,542,1000,business,1344,USDT,12,74.4,0.56,53.46,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000085,28,US,self_employed,4,163740,10,2,850,0,97,39275,10.64,37.85,47.48,4.04,32.48196674204143,8,9210,568,3,12,120,1000,business,1492,USDC,6,67.02,0.05,30.4,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000086,45,CA,unemployed,0,15000,27,3,714,0,66,114827,30.63,37.38,20.8,11.18,42.60304809529014,14,7500,405,6,19,307,1000,emergency,1741,USDT,24,57.44,0.56,48.58,0,761.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000087,38,JP,self_employed,16,77867,20,9,788,0,88,154141,16.91,41.87,24.55,16.66,30.267785915666835,13,23302,122,9,20,335,1000,personal,1858,USDC,24,53.82,0.11,33.81,0,659.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000088,28,UK,self_employed,10,169902,9,2,695,2,72,303481,22.11,46.52,18.52,12.86,41.78970610929232,14,58866,701,5,10,95,1000,personal,1971,USDC,12,50.74,0.05,36.59,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000089,41,JP,unemployed,0,15000,23,6,636,0,67,205055,16.1,10.65,64.44,8.8,25.09596319773279,17,10322,277,8,12,668,1000,education,1653,BTC,6,60.5,0.56,51.83,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000090,36,US,full_time,15,33665,16,0,784,0,70,102172,32.71,20.26,44.82,2.22,36.35810351724628,12,5144,279,9,6,295,1000,business,1238,DAI,6,80.78,0.25,48.52,0,175.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000091,46,UK,self_employed,26,96962,28,4,722,0,79,5936,25.35,44.63,29.69,0.32,31.332580464711345,15,925,234,5,19,279,1000,business,1763,DAI,12,56.72,0.09,34.57,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000092,26,US,self_employed,4,75687,8,7,715,0,65,4553,24.31,11.46,55.03,9.21,28.646856571798075,20,600,877,6,14,994,1000,personal,1431,USDT,3,69.88,0.11,40.64,0,88.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000093,31,DE,part_time,12,48136,13,5,720,1,54,78610,26.49,26.83,32.29,14.4,35.55311450284208,13,19530,255,13,18,120,1000,business,1257,USDT,36,79.55,0.17,46.78,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000094,30,UK,student,0,65943,12,5,681,0,80,36728,24.69,32.84,26.39,16.08,28.454403283411793,13,6446,574,7,9,181,1000,other,1699,USDC,12,58.86,0.13,42.85,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000095,18,DE,student,0,37146,0,4,567,0,52,830412,7.36,24.38,36.14,32.12,40.23239857957246,15,51599,470,8,18,528,1000,emergency,1215,ETH,6,82.3,0.22,56.87,0,194.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000096,38,AU,part_time,20,62018,17,6,734,0,97,480130,3.15,23.49,59.66,13.69,26.74786423310038,9,118457,1133,12,32,72,1000,personal,1513,DAI,6,66.09,0.13,38.81,0,171.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000097,38,SG,full_time,13,103538,19,3,733,0,83,37052,21.84,23.41,45.87,8.88,30.838135323063337,11,6905,249,6,14,226,1000,other,1503,USDC,12,66.53,0.08,35.04,0,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000098,35,DE,full_time,17,47063,17,3,674,0,75,288134,6.08,42.46,49.51,1.96,15.30734455769792,11,35433,664,7,16,117,1000,business,1760,ETH,24,56.82,0.18,42.71,0,752.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000099,32,OTHER,full_time,4,15000,14,1,702,0,55,675758,15.81,28.78,38.9,16.51,36.95402691677629,10,93935,442,9,19,197,1000,personal,1771,USDC,12,56.47,0.56,48.82,0,379.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000100,18,US,full_time,0,282770,0,4,839,0,100,61245,17.19,28.97,35.87,17.97,29.413699401196716,14,4443,722,5,27,488,1000,investment,1938,ETH,12,51.6,0.03,26.51,0,368.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000101,29,UK,full_time,11,40954,11,1,529,0,40,1318238,33.02,30.51,26.71,9.76,34.25423880800256,15,374599,391,9,21,467,1000,business,1657,USDC,12,60.35,0.2,52.49,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000102,30,CA,full_time,0,42807,12,4,516,0,36,98210,43.34,18.93,26.54,11.19,32.10115988568348,6,11881,361,7,7,135,1000,business,1755,USDT,6,56.98,0.19,54.11,0,180.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000103,25,DE,full_time,3,18192,7,2,744,0,84,49717,21.7,29.19,40.61,8.49,36.78861993661789,10,8042,306,7,18,437,1000,emergency,1642,DAI,12,60.9,0.46,47.62,0,384.0,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000104,33,US,part_time,13,50236,14,4,676,0,70,2816542,23.9,39.08,31.44,5.59,35.9724254168302,14,591267,349,9,20,304,1000,investment,1756,ETH,6,56.95,0.17,43.89,1,,2026-01-03T01:25:43.880677,1.0.0
SYNTH_000105,39,UK,full_time,18,52700,20,4,665,0,62,31134,19.91,19.86,41.95,18.28,37.89125305019121,17,3797,370,5,13,743,1000,education,1398,ETH,36,71.53,0.16,48.77,1,,2026-01-03T01:25:43.880677,1.0.0
